AISHE_ID,CollegeName,State,Teacher,Student,Hostels,Labs,PhD,S_F_Ratio
C-41484,(A.B.M.S.) Akhil Bharatiya,Maharashtra,83,845,2,10,70,10.18072289
C-8888,100001-KCES'S MOOLJEE,arakhand,199,12018,4,10,29,60.3919598
C-8913,"100002-JDMVP CO-OP S'S ARTS,",Gujarat,94,9552,0,10,53,101.6170213
C-8979,100003-EU'S DR. ANNASAHEB,Odisha,92,5339,2,10,92,58.0326087
C-8922,100004-Khandesh College,Uttar Pradesh,15,363,2,10,76,24.2
C-9030,100005-KCES'S S.S.MANIYAR LAW,Jharkhand,7,811,0,0,67,115.8571429
C-9025,100006-KRES'S ADV.SITARAM,Rajasthan,20,719,0,10,90,35.95
C-8977,100007-SSBT'S COLLEGE OF,Odisha,113,2594,3,10,89,22.95575221
C-8876,100008-SES'S COLLEGE OF PHYSICAL,Tamil Nadu,5,51,0,0,79,10.2
C-8940,100009- IQRA EDUCATION SOCIETY'S H.J.,Rajasthan,21,731,0,10,40,34.80952381
C-9027,100010-KCES'S INSTITUTE OF,Karnataka,76,1093,2,0,82,14.38157895
C-8833,100043-IES'S IQRA COLLEGE OF,Telangana,7,48,2,10,73,6.857142857
C-8946,100054-GOVERNMENT COLLEGE OF,Andhra Pradesh,47,1640,3,10,60,34.89361702
C-8918,100055-DNCVP'S COLLEGE OF,Jammu and Kashmir,15,366,0,0,79,24.4
C-8860,100061-SE&CM'S SHRI GULABRAO,Maharashtra,70,960,2,10,36,13.71428571
C-8862,100062-K.A.K.P. SANSHTA'S COMMERCE &,Uttar Pradesh,11,120,0,10,78,10.90909091
C-8836,100063-GF'S GODAVARI COLLEGE OF,Jharkhand,64,520,1,10,93,8.125
C-8907,100066-Dhanaji Nana Chaudhari,Odisha,8,267,0,10,48,33.375
C-8943,100074-GODAVARI FOUNDATION',Chattisgarh,5,48,0,10,62,9.6
C-8905,100081-GODAVARI FOUNDATION',Gujarat,12,200,2,0,60,16.66666667
C-8815,100084-KCES'S COLLEGE OF,Jammu and Kashmir,60,831,1,10,69,13.85
C-9023,100089-GFS'S GODAVARI COLLEGE OF,Andhra Pradesh,2,0,0,10,83,0
C-8899,100090-GFS'S DR.ULHAS PATIL LAW,Karnataka,6,98,0,0,55,16.33333333
C-10236,100094-COLLEGE OF ARCHITECTUR,Odisha,18,61,2,10,88,3.388888889
C-8852,100098-SHELLI0 EDUCATION,Uttar Pradesh,17,259,0,10,79,15.23529412
C-8831,100100-G.H. RAISONI INSTITUTE OF,Madhya Pradesh,91,856,2,10,57,9.406593407
C-8991,100101-GHREFS'S G. H. Raisoni,Rajasthan,14,122,2,10,93,8.714285714
C-8998,"100103-SES'S COLLEGE OF EDUCATION,",West Bengal,6,120,0,10,85,20
C-8864,100105-JAI DURGA BHAVANI,Andhra Pradesh,3,28,0,10,65,9.333333333
C-9013,100110-SMBKMP'S SHRI.,Telangana,6,69,0,10,78,11.5
C-8813,100112-EKES'S RAOSAHEB,Maharashtra,2,0,0,10,66,0
C-8877,100113-KCES'S POST GRADUATE,Punjab,20,124,2,10,81,6.2
