AISHE_ID,CollegeName,State,Teacher,Student,Hostels,Labs,PhD,S_F_Ratio,Predicted Rank
C-41484,(A.B.M.S.) Akhil Bharatiya,Maharashtra,83,845,2,10.0,70,10.18072289,102.725044
C-8888,100001-KCES'S MOOLJEE,Maharashtra,199,12018,4,10.0,29,60.3919598,1235.1857
C-8913,"100002-JDMVP CO-OP S'S ARTS,",Maharashtra,94,9552,0,10.0,53,101.6170213,986.02716
C-8979,100003-EU'S DR. ANNASAHEB,Maharashtra,92,5339,2,10.0,92,58.032608700000004,565.89984
C-8922,100004-Khandesh College,Maharashtra,15,363,2,10.0,76,24.2,51.45844
C-9030,100005-KCES'S S.S.MANIYAR LAW,Maharashtra,7,811,0,0.0,67,115.8571429,96.51109
C-9025,100006-KRES'S ADV.SITARAM,Maharashtra,20,719,0,10.0,90,35.95,92.31471
C-8977,100007-SSBT'S COLLEGE OF,Maharashtra,113,2594,3,10.0,89,22.95575221,287.11798
C-8876,100008-SES'S COLLEGE OF PHYSICAL,Maharashtra,5,51,0,0.0,79,10.2,13.65888
C-8940,100009- IQRA EDUCATION SOCIETY'S H.J.,Maharashtra,21,731,0,10.0,40,34.80952381,84.52894
C-9027,100010-KCES'S INSTITUTE OF,Maharashtra,76,1093,2,0.0,82,14.38157895,129.61685
C-8833,100043-IES'S IQRA COLLEGE OF,Maharashtra,7,48,2,10.0,73,6.857142857,13.632025
C-8946,100054-GOVERNMENT COLLEGE OF,Maharashtra,47,1640,3,10.0,60,34.89361702,181.78615
C-8918,100055-DNCVP'S COLLEGE OF,Maharashtra,15,366,0,0.0,79,24.4,50.597336
C-8860,100061-SE&CM'S SHRI GULABRAO,Maharashtra,70,960,2,10.0,36,13.71428571,108.43568
C-8862,100062-K.A.K.P. SANSHTA'S COMMERCE &,Maharashtra,11,120,0,10.0,78,10.90909091,21.48526
C-8836,100063-GF'S GODAVARI COLLEGE OF,Maharashtra,64,520,1,10.0,93,8.125,72.04585
C-8907,100066-Dhanaji Nana Chaudhari,Maharashtra,8,267,0,10.0,48,33.375,37.342873
C-8943,100074-GODAVARI FOUNDATION',Maharashtra,5,48,0,10.0,62,9.6,12.586334
C-8905,100081-GODAVARI FOUNDATION',Maharashtra,12,200,2,0.0,60,16.66666667,28.617619
C-8815,100084-KCES'S COLLEGE OF,Maharashtra,60,831,1,10.0,69,13.85,100.79474
C-9023,100089-GFS'S GODAVARI COLLEGE OF,Maharashtra,2,0,0,10.0,83,0.0,6.742754
C-8899,100090-GFS'S DR.ULHAS PATIL LAW,Maharashtra,6,98,0,0.0,55,16.33333333,15.725955
C-10236,100094-COLLEGE OF ARCHITECTUR,Maharashtra,18,61,2,10.0,88,3.388888889,17.107586
