SL_NO,STATE_NAME,UNIVERSITY_NAME,COLLEGE_NAME,DISTRICT_NAME,TYPE_OF_DIPLOMA_INSTITUTE,STUDENT_ENROLMENT_MALE,STUDENT_ENROLMENT_FEMALE,STUDENT_ENROLMENT_TOTAL,NUMBER_OF_TEACHER_MALE,NUMBER_OF_TEACHER_FEMALE,NUMBER_OF_TEACHER_TOTAL,LAB_FACILITIES,HOSTEL_FACILITIES,STUDENT_FACULTY_RATIO,SCORE
1,Andhra Pradesh,Acharya Nagarjuna University Guntur (Id: U0003),Aazad College of Education (Id: C39230),Prakasam,Teacher Training,77,23,100,8,2,10,1,0,10,6.67
2,Andhra Pradesh,Acharya Nagarjuna University Guntur (Id: U0003),Ali College of Education (Id: C39243),Guntur,Teacher Training,62,38,100,7,3,10,0,0,10,3.34
3,Andhra Pradesh,Acharya Nagarjuna University Guntur (Id: U0003),Navya Chaitanya College of Education (Id: C32758),Prakasam,Teacher Training,54,46,100,7,3,10,0,0,10,3.34
4,Andhra Pradesh,Acharya Nagarjuna University Guntur (Id: U0003),Vellanki College of Education (Id: C37213),Guntur,Teacher Training,0,0,0,0,0,0,0,1,0,3.34
5,Andhra Pradesh,Andhra University Visakhapatnam (Id: U0006),J.BEERA COLLEGE OF EDUCATION (Id: C24082),West Godavari,Teacher Training,27,73,100,4,3,7,1,1,14.29,11.43
6,Andhra Pradesh,Andhra University Visakhapatnam (Id: U0006),Madhu College of Education (Id: C24307),Visakhapatnam,Teacher Training,31,65,96,6,3,9,0,1,10.67,6.89
7,Andhra Pradesh,Andhra University Visakhapatnam (Id: U0006),Minerva College of Education (Id: C24380),East Godavari,Teacher Training,56,64,120,9,1,10,0,0,12,4
8,Andhra Pradesh,Andhra University Visakhapatnam (Id: U0006),Mohan College Of Education (Id: C24071),East Godavari,Teacher Training,40,60,100,5,3,8,0,1,12.5,7.5
9,Andhra Pradesh,Andhra University Visakhapatnam (Id: U0006),St. Johns College of Education Eluru. (Id: C39226),West Godavari,Teacher Training,0,0,0,0,0,0,0,0,0,0
10,Andhra Pradesh,Andhra University Visakhapatnam (Id: U0006),Yanamadala Kamala College of Education (Id: C24123),Vizianagaram,Teacher Training,49,51,100,8,0,8,1,1,12.5,10.84
11,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Aditya College of Nursing Kakinada (Id: C30465),East Godavari,Nursing,0,0,0,0,0,0,1,1,0,6.67
12,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Aragonda Apollo College of Nursing Aragonda (Id: C30328),Chittoor,Nursing,0,0,0,0,0,0,1,1,0,6.67
13,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),ASRAM College of Nursing Eluru (Id: C30477),West Godavari,Nursing,58,249,307,24,48,72,0,1,4.27,4.76
14,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Ayushman Nursing College Kurnool (Id: C30664),Kurnool,Nursing,0,76,76,0,16,16,1,0,4.75,4.92
15,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Bollineni College of Nursing Nellore (Id: C30427),Sri Potti Sriramulu Nellore,Nursing,0,0,0,0,0,0,1,0,0,3.34
16,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Chaitanya College of B.Sc Nursing Ongole (Id: C30417),Prakasam,Nursing,0,85,85,7,10,17,0,1,5,5
17,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Crescent College of Nursing Kadapa (Id: C30578),Y.S.R.,Nursing,0,65,65,0,27,27,0,1,2.41,4.14
18,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Divya College of Nursing Anantapur (Id: C30637),Anantapur,Nursing,0,0,0,0,0,0,1,0,0,3.34
19,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Florence Nightingale Modern B.Sc Nursing Degree College For Women Kadapa (Id: C30608),Y.S.R.,Nursing,0,162,162,0,24,24,1,1,6.75,8.92
20,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),MIMS College of Nursing Nellimarla (Id: C30554),Vizianagaram,Nursing,0,86,86,0,30,30,1,0,2.87,4.29
21,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Sanjivi B.Sc Degree College of Nursing Guntur (Id: C30371),Guntur,Nursing,0,26,26,1,12,13,0,1,2,4
22,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Sri Sai saran College of Nursing Rajahmundry (Id: C30496),East Godavari,Nursing,0,90,90,0,36,36,1,1,2.5,7.5
23,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Sri Venkatadri College of Nursing Kadapa (Id: C30604),Y.S.R.,Nursing,0,84,84,0,26,26,0,1,3.24,4.42
24,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),St. Anns College of Nursing Guntur (Id: C30344),Guntur,Nursing,0,174,174,0,37,37,1,1,4.71,8.24
25,Andhra Pradesh,Jawaharlal Nehru Technological University Anantapur (Id: U0016),Anjan Narasimha Munaga Kancharla Thummapudi Institute of Technology and Management Badvel (Id: C26933),Y.S.R.,Technical/Polytechnic,176,9,185,26,1,27,0,0,6.86,2.29
26,Andhra Pradesh,Jawaharlal Nehru Technological University Anantapur (Id: U0016),Gokulakrishna College of Engineering Sullerpet (Id: C26959),Sri Potti Sriramulu Nellore,Technical/Polytechnic,1497,419,1916,103,66,169,0,1,11.34,7.12
27,Andhra Pradesh,Jawaharlal Nehru Technological University Anantapur (Id: U0016),Priyadarshini College of Engineering (G1) Sullurpet (Id: C26957),Sri Potti Sriramulu Nellore,Technical/Polytechnic,505,205,710,56,34,90,0,1,7.89,5.97
