,SL_NO,STATE_NAME,UNIVERSITY_NAME,COLLEGE_NAME,DISTRICT_NAME,TYPE_OF_DIPLOMA_INSTITUTE,STUDENT_ENROLMENT_MALE,STUDENT_ENROLMENT_FEMALE,STUDENT_ENROLMENT_TOTAL,NUMBER_OF_TEACHER_MALE,NUMBER_OF_TEACHER_FEMALE,NUMBER_OF_TEACHER_TOTAL,LAB_FACILITIES,HOSTEL_FACILITIES,STUDENT_FACULTY_RATIO,Predicted Rank
0,1,Andhra Pradesh,Acharya Nagarjuna University Guntur (Id: U0003),Aazad College of Education (Id: C39230),Prakasam,Teacher Training,77,23,100,8,2,10,1,0,10,-0.6619286
1,2,Andhra Pradesh,Acharya Nagarjuna University Guntur (Id: U0003),Ali College of Education (Id: C39243),Guntur,Teacher Training,62,38,100,7,3,10,0,0,10,-0.4603032
2,3,Andhra Pradesh,Acharya Nagarjuna University Guntur (Id: U0003),Navya Chaitanya College of Education (Id: C32758),Prakasam,Teacher Training,54,46,100,7,3,10,0,0,10,-0.4603032
3,4,Andhra Pradesh,Acharya Nagarjuna University Guntur (Id: U0003),Vellanki College of Education (Id: C37213),Guntur,Teacher Training,0,0,0,0,0,0,0,1,0,-0.14821967
4,5,Andhra Pradesh,Andhra University Visakhapatnam (Id: U0006),J.BEERA COLLEGE OF EDUCATION (Id: C24082),West Godavari,Teacher Training,27,73,100,4,3,7,1,1,14.29,-0.67773336
5,6,Andhra Pradesh,Andhra University Visakhapatnam (Id: U0006),Madhu College of Education (Id: C24307),Visakhapatnam,Teacher Training,31,65,96,6,3,9,0,1,10.67,-0.30947816
6,7,Andhra Pradesh,Andhra University Visakhapatnam (Id: U0006),Minerva College of Education (Id: C24380),East Godavari,Teacher Training,56,64,120,9,1,10,0,0,12,-0.5523633
7,8,Andhra Pradesh,Andhra University Visakhapatnam (Id: U0006),Mohan College Of Education (Id: C24071),East Godavari,Teacher Training,40,60,100,5,3,8,0,1,12.5,-0.3937137
8,9,Andhra Pradesh,Andhra University Visakhapatnam (Id: U0006),St. Johns College of Education Eluru. (Id: C39226),West Godavari,Teacher Training,0,0,0,0,0,0,0,0,0,0
9,10,Andhra Pradesh,Andhra University Visakhapatnam (Id: U0006),Yanamadala Kamala College of Education (Id: C24123),Vizianagaram,Teacher Training,49,51,100,8,0,8,1,1,12.5,-0.5976429
10,11,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Aditya College of Nursing Kakinada (Id: C30465),East Godavari,Nursing,0,0,0,0,0,0,1,1,0,-0.24562012
11,12,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Aragonda Apollo College of Nursing Aragonda (Id: C30328),Chittoor,Nursing,0,0,0,0,0,0,1,1,0,-0.24562012
12,13,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),ASRAM College of Nursing Eluru (Id: C30477),West Godavari,Nursing,58,249,307,24,48,72,0,1,4.27,-0.091035366
13,14,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Ayushman Nursing College Kurnool (Id: C30664),Kurnool,Nursing,0,76,76,0,16,16,1,0,4.75,-0.52836627
14,15,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Bollineni College of Nursing Nellore (Id: C30427),Sri Potti Sriramulu Nellore,Nursing,0,0,0,0,0,0,1,0,0,-0.5321654
15,16,Andhra Pradesh,Dr. N.T.R. University of Health Sciences Vijaywada (Id: U0008),Chaitanya College of B.Sc Nursing Ongole (Id: C30417),Prakasam,Nursing,0,85,85,7,10,17,0,1,5,-0.10843149
