AISHE_ID,CollegeName,State,Teacher,Student,Hostels,Labs,PhD,S_F_Ratio,Predicted_Rank
C-31499,AADINATH INSTITUTE OF INFORMATION,Madhya Pradesh,1,0,0,10,42,0,4.424448757
C-8879,"120104-JBSAS KAMAL AAKKA PATIL ARTS,",Maharashtra,5,0,0,0,35,0,5.012848855
C-17482,"Sri Ranga college of Education,",Tamil Nadu,16,140,0,10,92,8.75,5.326460977
C-12447,CH. SHIV KUMAR SINGH SMARAK,Maharashtra,2,0,0,10,50,0,5.326460977
C-7985,MEPPAYUR SALAFI COLLEGE OF,Madhya Pradesh,8,100,2,10,57,12.5,5.326460977
C-55031,AKULA SREE RAMULU COLLEGE of,Maharashtra,8,0,0,10,50,0,5.335795695
C-51963,SRI SAI RAM DEGREE COLLEGE,Maharashtra,12,157,0,10,77,13.08333333,5.345130412
C-56584,PT BANSH RAJ PRASHIKSHAN MAHAVIDYALA,Gujarat,16,96,0,10,50,6,5.348241985
C-19025,"G.M.H.S.S.T. College, Bagaha",Karnataka,45,0,0,10,50,0,5.393359786
C-9908,"LATE M.K.G.B.P.ARTS COMM COLLEGE,",Madhya Pradesh,5,676,0,0,97,135.2,5.437462246
C-57110,GURUKUL. THE. TEACHING,Karnataka,19,197,0,10,60,10.36842105,5.439018032
C-36565,SRI SAI BHARATH COLLEGE OF,Madhya Pradesh,39,573,0,0,91,14.69230769,5.440573818
C-22419,Shaheed Bhagat Singh College of,Odisha,15,193,0,10,53,12.86666667,5.445241177
C-10746,Bhai Surender Kumar Memorial,Gujarat,10,0,0,10,51,0,5.451464322
C-1099,College of Physiotherapy,Madhya Pradesh,22,0,0,10,51,0,5.470133757
C-47504,SHEVAROYS COLLEGE OF ARTS AND,Uttar Pradesh,30,379,2,10,84,12.63333333,5.49640398
C-24244,SURYA DEGREE COLLEGE,Uttar Pradesh,8,235,0,10,77,29.375,5.5500193
C-46485,KHEMAJI NAIK SCIENCE PITIGUDA,Tamil Nadu,7,154,0,10,62,22,5.551575086
C-44555,LATE R. G. DESHMUKH COLLEGE OF,Maharashtra,16,228,0,10,62,14.25,5.551575086
C-773,"School of Physiotherapy, RK University,",Uttar Pradesh,40,525,2,10,54,13.125,5.556051267
