AISHE_ID,CollegeName,State,Teacher,Student,Hostels,Labs,PhD,S_F_Ratio,Predicted Rank
C-53735,ABHIRUCHI LALIT KALA AkADAMI,Madhya Pradesh,3,15,0,0,14,5,4.643277864
C-8879,"120104-JBSAS KAMAL AAKKA PATIL ARTS,",Maharashtra,5,0,0,0,35,0,5.652897553
C-49097,CHRISTIAN MEDICAL COLLEGE,Tamil Nadu,5,1,16,10,54,0.2,7.276977609
C-33934,Rizvi Institute of Management,Maharashtra,45,235,0,10,74,5.222222222,7.364676693
C-31499,AADINATH INSTITUTE OF INFORMATION,Madhya Pradesh,1,0,0,10,42,0,7.495331772
C-18822,"Purushottam Thote College of Social Work,",Maharashtra,16,252,0,10,90,15.75,7.59623352
C-35441,"Social Science Centre, Pune",Maharashtra,9,122,2,10,90,13.55555556,7.642544886
C-389,Brahmanand Insitute of Management,Gujarat,8,0,0,0,51,0,7.688856251
C-10100,"RAMAKRISHNA VIVEKANANDA BCA COLLEGE,",Karnataka,3,53,0,10,67,17.66666667,7.716733249
C-36201,Bapu Institute of Technology &,Madhya Pradesh,1,0,0,0,55,0,7.838932844
C-10173,GOMATESH VIDYAPEETH ARTS,Karnataka,5,33,0,10,91,6.6,7.838932844
C-31552,PRT INSTITUTE OF TECHNOLOGY,Madhya Pradesh,15,117,0,10,68,7.8,7.874101712
C-10937,Ashutosh Maharaja College of,Odisha,2,0,0,0,55,0,7.885244209
C-49616,BHAGWAN MAHAVIR COLLEGE OF,Gujarat,2,0,0,0,55,0,7.885244209
C-54155,EKTA INSTITUTE,Madhya Pradesh,4,0,0,0,55,0,7.97786694
C-13566,"Savitribaifule Rajkiya P.G. College,",Uttar Pradesh,11,1484,0,0,84,134.9090909,8.003808247
C-20495,Shri Tiwari Vaidikadarsha Sanskrit,Uttar Pradesh,4,86,0,10,90,21.5,8.013035809
C-14856,Mother Teresa College of Education -1,Tamil Nadu,13,194,0,10,69,14.92307692,8.166607189
C-34602,Dyandeep Shikshan Sanstha's,Maharashtra,3,0,0,0,57,0,8.16868365
C-31362,CCA INSTITUTE OF PROFESSIONA,Uttar Pradesh,4,0,0,0,57,0,8.214995015
C-11236,"B.Ed. College, PATAN",Maharashtra,7,0,0,0,56,0,8.235365074
C-6907,N M SHAH ARTS COMMERCE,Gujarat,17,1164,0,0,50,68.47058824,8.287247687
C-51672,EARTHA-Elements of Art and,Karnataka,5,5,0,0,53,1,8.3064497
C-20514,Vishva Bandhu Sanskrit Mahavidyalay,Uttar Pradesh,3,35,0,10,76,11.66666667,8.354539986
C-33626,"Anjuman I Islam research institute, 92,",Maharashtra,2,0,1,0,60,0,8.357423899
C-61066,Government College Bicchiwara,Rajasthan,3,200,0,10,90,66.66666667,8.379870418
C-12079,OMAR VAISHYA LALA PURUSHOTTA,Uttar Pradesh,8,177,0,0,68,22.125,8.407092906
C-31203,SONY COMPUTER EDUCATION,Madhya Pradesh,11,371,0,0,65,33.72727273,8.453090936
C-54165,HUMAN WELFARE SOCIETY,Madhya Pradesh,4,136,0,10,72,34,8.478064397
